Младинска,Струмица,,41.4406719,22.6447
СОУ Димитар Влахов,Струмица,Панче Пешев,41.4392441,22.6466275
Градинка Детска радост,Струмица,Ѓорги Василев,41.4288653,22.6488724
Државен архив на Северна Македонија,Скопје,Кеј Димитар Влахов,41.9968185,21.4343486
ОУ Димката Ангелов Габерот - Ваташа,Кавадарци,Страшо Пинџур,41.419786,22.0176814
Снежана,Кавадарци,4 Мај,41.4252572,22.0143929
ПОУ Илинден,Конопница,Пролетерска,42.1823051,22.2928534
ОУ Илинден,Крива Паланка,Др. Наско Тамбурков,42.1967762,22.3242368
ПОУ Илинден,Мождивњак,A2,42.1762925,22.2496006
Григор Прличев,Охрид,Кеј Македонија,41.1126552,20.8006399
Детска градинка,Новаци,Новаци,41.0422962,21.4560704
Petta Privatna Gimnazija,Скопје,Индустриска,41.9932077,21.473723
Правен Факултет Св. Климент Охридски,Кичево,Александар Македонски,41.5109634,20.9595002
Elektro-tehnicki fakultet,Радовиш,Партизанска,41.637326,22.461869
Nikola Karev,Радовиш,Кеј 8ми Септември,41.64034,22.463039
Климент Охридски,Охрид,Трајче Трајчески,41.1210975,20.7791812
Дон на културата Н. Ј. Вапцаров,Делчево,Н. Ј. Вапцаров,41.9663875,22.772984
ОУ Ванчо Прќе,Ѕвегор,A3,41.9669828,22.8027712
Комплекс Медицински Институти,Скопје,50-та дивизија,41.9898623,21.4246243
Германска читалница,Скопје,Булевар Гоце Делчев,41.9981313,21.4393671
Американско катче Македонија,Скопје,Булевар Гоце Делчев,41.9980573,21.4397823
Ванчо Прке,Виница,Кочо Рацин,41.8868911,22.5066167
Кочо Рацин,Скопје,Козара,41.9916779,21.4189621
"SH.F "" 25 Maji """,Скопје,Хритифор Жефаровиќ,42.0126768,21.5104934
Градинка Ресен Gradinka,Ресен,Никола Неделковски-Коле,41.0872538,21.012492
ДСУ  Никола Карев,Скопје,Никола Русински,42.0041882,21.4011992
Едукативен центар СОНЦЕ,Скопје,Булевар Јане Сандански,41.9866117,21.4670763
ASM,Скопје,Никола Парапунов,42.0069742,21.3831677
