@id,name,addr:street,addr:city,website,phone,amenity,building,municipality,addr:place,addr:town,@lat,@lon
2487777901,,,,,,,,,,,42.0066686,20.9644980
2487777903,,,,,,,,,,,42.0076518,20.9650200
2487777904,,,,,,,,,,,42.0076428,20.9656399
2487777906,,,,,,,,,,,42.0064131,20.9646854
2487777908,,,,,,,,,,,42.0061783,20.9641118
2487777912,,,,,,,,,,,42.0065455,20.9645314
2487777914,,,,,,,,,,,42.0059551,20.9645356
2487777915,,,,,,,,,,,42.0066547,20.9643484
2487777918,,,,,,,,,,,42.0063085,20.9637379
2487777925,,,,,,,,,,,42.0059073,20.9644175
2487777927,,,,,,,,,,,42.0065118,20.9645227
2487777928,,,,,,,,,,,42.0066168,20.9648521
2487777932,,,,,,,,,,,42.0063771,20.9640486
2487777933,,,,,,,,,,,42.0061983,20.9644496
2487777935,,,,,,,,,,,42.0054674,20.9649717
2487777938,,,,,,,,,,,42.0065331,20.9648950
2487777942,,,,,,,,,,,42.0065809,20.9648199
2487777947,,,,,,,,,,,42.0063138,20.9652866
2487777948,,,,,,,,,,,42.0062580,20.9651900
2487788029,,,,,,,,,,,42.0075989,20.9698973
2487788109,,,,,,,,,,,42.0071894,20.9698265
2487788130,,,,,,,,,,,42.0071268,20.9697786
2487788131,,,,,,,,,,,42.0078378,20.9700640
2491220619,,,,,,,,,,,41.9921315,22.1869621
2491220628,,,,,,,,,,,41.9908459,22.1879599
2491220661,,,,,,,,,,,41.9915116,22.1871359
2491220694,,,,,,,,,,,41.9917011,22.1872575
2491220776,,,,,,,,,,,41.9920358,22.1876889
2491220844,,,,,,,,,,,41.9912730,22.1880643
2491220877,,,,,,,,,,,41.9911150,22.1880323
2491220882,,,,,,,,,,,41.9908344,22.1855270
2491220895,,,,,,,,,,,41.9910371,22.1871862
2491220924,,,,,,,,,,,41.9914850,22.1866187
2491220939,,,,,,,,,,,41.9921937,22.1870424
2491220999,,,,,,,,,,,41.9910840,22.1870729
2491221002,,,,,,,,,,,41.9913696,22.1874352
2491221015,,,,,,,,,,,41.9912770,22.1854975
2491221090,,,,,,,,,,,41.9908304,22.1868734
2491221165,,,,,,,,,,,41.9907208,22.1869056
2491221174,,,,,,,,,,,41.9916866,22.1872924
2491221267,,,,,,,,,,,41.9910727,22.1868072
2491221324,,,,,,,,,,,41.9916452,22.1865919
2491221347,,,,,,,,,,,41.9919030,22.1878390
2491221357,,,,,,,,,,,41.9919882,22.1877694
2491221401,,,,,,,,,,,41.9914365,22.1865462
2491221402,,,,,,,,,,,41.9914249,22.1873281
2491221441,,,,,,,,,,,41.9913350,22.1875452
2491221444,,,,,,,,,,,41.9921954,22.1867931
2491221464,,,,,,,,,,,41.9915855,22.1880162
2491221480,,,,,,,,,,,41.9918057,22.1873358
2491221484,,,,,,,,,,,41.9910318,22.1866696
2491221508,,,,,,,,,,,41.9913171,22.1875621
2491221563,,,,,,,,,,,41.9909217,22.1865007
2491221573,,,,,,,,,,,41.9908921,22.1872438
2491221584,,,,,,,,,,,41.9920715,22.1874985
2491221830,,,,,,,,,,,41.9907248,22.1875708
2491221844,,,,,,,,,,,41.9916282,22.1877648
2491221860,,,,,,,,,,,41.9915036,22.1871554
2491221864,,,,,,,,,,,41.9907542,22.1878499
2510097455,,,,,,,,,,,41.2155347,21.4858703
2510097456,,,,,,,,,,,41.2154318,21.4860693
2510097463,,,,,,,,,,,41.2153794,21.4861362
2510106109,,,,,,,,,,,41.2156892,21.4855073
2513938426,,,,,,,,,,,41.2125191,21.4993208
2513949845,,,,,,,,,,,41.2133136,21.4994053
2513952561,,,,,,,,,,,41.2125056,21.4976714
2513952565,,,,,,,,,,,41.2124444,21.4993118
2532165677,,,,,,,,,,,41.3519367,21.5363797
2535157363,ОУ Димката Ангелов Габерот - Ваташа,,,,,school,,,,,41.4197860,22.0176814
2535214523,Снежана,,,,,kindergarten,,,,,41.4252572,22.0143929
2571623728,,,,,,,,,,,41.9864937,20.9597294
2571623729,,,,,,,,,,,41.9849307,20.9610919
2571623731,,,,,,,,,,,41.9852975,20.9607164
2571623732,,,,,,,,,,,41.9846436,20.9613816
2571623733,,,,,,,,,,,41.9856085,20.9603731
2571623736,,,,,,,,,,,41.9862170,20.9598999
2571623737,,,,,,,,,,,41.9858318,20.9601692
2571623867,,,,,,,,,,,41.9864766,20.9611207
2572853076,,,,,,,,,,,41.9896037,20.9609598
2572853079,,,,,,,,,,,41.9891717,20.9608651
2572875857,,,,,,,,,,,41.9891247,20.9599328
2572875868,,,,,,,,,,,41.9892202,20.9599523
2572875870,,,,,,,,,,,41.9885785,20.9624974
2572875872,,,,,,,,,,,41.9885340,20.9628941
2572875874,,,,,,,,,,,41.9886798,20.9629238
2572875876,,,,,,,,,,,41.9886890,20.9628424
2572875878,,,,,,,,,,,41.9887442,20.9628530
2572875881,,,,,,,,,,,41.9887455,20.9628690
2572875883,,,,,,,,,,,41.9891756,20.9629539
2572875885,,,,,,,,,,,41.9892124,20.9626230
2572875886,,,,,,,,,,,41.9891335,20.9626071
2572875887,,,,,,,,,,,41.9891362,20.9625858
2572875888,,,,,,,,,,,41.9887652,20.9625133
2572875889,,,,,,,,,,,41.9887639,20.9625327
2572875890,,,,,,,,,,,41.9883923,20.9625683
2572875892,,,,,,,,,,,41.9883576,20.9628438
