Gradinka Mirce Acev,Скопје,Никола Пушкаров,kindergarten,,,42.006901,21.350879
ОУ Александар Урдаревски,Мирковци,R2239,school,,,42.094130,21.397452
ИТ Академија Александрија,Скопје,Атинска,school,,,41.996752,21.407309
Основно Училиште Видое Подгорец,Колешино,R1402,school,,,41.381688,22.816403
Комерцијална Банка,Скопје,"Плоштад ""Карпошово Востание""",university,,,41.997309,21.435133
DSU Kosta Susinov,Радовиш,Кеј 8ми Септември,school,,,41.636340,22.467267
OU Krste Petkov Misirkov,Радовиш,Булевар Александар Македонски,school,,,41.635426,22.468426
ОМУ Ристо Јуруков,Кочани,Кузман Јосифовски Питу,school,,,41.918556,22.413470
оу Коле Канински,Битола,Паца Мирчева,school,,,41.004539,21.346450
"ОУ ""Ванчо Китанов""",Пехчево,Даме Груев,school,,,41.762443,22.883506
"Детска градинка ""7-ми Септември""",Пехчево,Даме Груев,kindergarten,,,41.762945,22.882911
"Детска Градинка ""Росица""",Охрид,Пере Тошев,kindergarten,,,41.119536,20.793818
Маршал Тито,Струмица,Пиринска,school,,,41.433582,22.636278
Народна гимназија Јане Сандански,Струмица,Моша Пијаде,school,,,41.439891,22.637254
Основно училиште Сандо Масев,Струмица,Моша Пијаде,school,,,41.440341,22.636285
Видое Подгорец,Струмица,1ви Мај,school,,,41.436880,22.640822
Никола Вапцаров,Струмица,Максим Горки,school,,,41.429545,22.648860
СОУ Димитар Влахов,Струмица,Панче Пешев,school,,,41.439244,22.646628
Државен архив на Северна Македонија,Скопје,Кеј Димитар Влахов,library,,,41.996819,21.434349
ОУ Димката Ангелов Габерот - Ваташа,Кавадарци,Страшо Пинџур,school,,,41.419786,22.017681
Снежана,Кавадарци,4 Мај,kindergarten,,,41.425257,22.014393
ПОУ Илинден,Конопница,Пролетерска,school,,,42.182305,22.292853
ОУ Илинден,Крива Паланка,Др. Наско Тамбурков,school,,,42.196776,22.324237
ПОУ Илинден,Мождивњак,A2,school,,,42.176293,22.249601
Григор Прличев,Охрид,Кеј Македонија,library,,,41.112655,20.800640
Детска градинка,Новаци,Новаци,kindergarten,,,41.042296,21.456070
Petta Privatna Gimnazija,Скопје,Индустриска,school,,,41.993208,21.473723
Правен Факултет Св. Климент Охридски,Кичево,Александар Македонски,university,,,41.510963,20.959500
Elektro-tehnicki fakultet,Радовиш,Партизанска,university,,,41.637326,22.461869
Nikola Karev,Радовиш,Кеј 8ми Септември,school,,,41.640340,22.463039
Климент Охридски,Охрид,Трајче Трајчески,school,,,41.121098,20.779181
Дон на културата Н. Ј. Вапцаров,Делчево,Н. Ј. Вапцаров,library,,,41.966388,22.772984
ОУ Ванчо Прќе,Ѕвегор,A3,school,,,41.966983,22.802771
Комплекс Медицински Институти,Скопје,50-та дивизија,university,,,41.989862,21.424624
Германска читалница,Скопје,Булевар Гоце Делчев,library,,,41.998131,21.439367
Американско катче Македонија,Скопје,Булевар Гоце Делчев,library,+389 2 3120020,https://www.acmacedonia.org/,41.998057,21.439782
Ванчо Прке,Виница,Кочо Рацин,school,+38933361903,http://souvancoprke.gov.mk/,41.886891,22.506617
Кочо Рацин,Скопје,Козара,kindergarten,,,41.991678,21.418962
"SH.F "" 25 Maji """,Скопје,Хритифор Жефаровиќ,school,,,42.012677,21.510493
